Reviewed, UniProt_ID, Gene_Name, Gene_ID, Chromosome
Yes,Q00780,Col8a1,12837,Chromosome:16
Yes,Q6P7F1,Mpp4,227157,Chromosome:1
Yes,Q9Z0H0,Cdc7,12545,Chromosome:5
Yes,O88822,Sc5d,235293,Chromosome:9
Yes,A2AQ25,Skt,208618,Chromosome:2
Yes,P47811,Mapk14,26416,Chromosome:17
Yes,P42732,RPS13,831282,Chromosome:5
Yes,Q8BG94,Commd7,99311,Chromosome:2
Yes,Q91WA3,Hdac11,232232,Chromosome:6
Yes,Q64324,Stxbp2,20911,Chromosome:8
Yes,Q99LI7,Cstf3,228410,Chromosome:2
Yes,P28184,Mt3,17751,Chromosome:8
Yes,P97351,Rps3a,20091,Chromosome:3
Yes,P52825,Cpt2,12896,Chromosome:4
Yes,Q64478,Hist1h2bh,319182,Chromosome:13
Yes,P19785,Esr1,13982,Chromosome:10
Yes,Q9CQZ7,Polr3k,67005,Chromosome:2
Yes,Q6XBJ3,Onecut2,225631,Chromosome:18
Yes,Q80TJ7,Phf8,320595,None
Yes,Q6PCQ0,Iqce,74239,Chromosome:5
Yes,Q9CR14,Fancl,67030,Chromosome:11
Yes,Q9FIB4,ABCF2,830854,Chromosome:5
Yes,Q61660,Foxj1,15223,Chromosome:11
Yes,Q91W36,Usp3,235441,Chromosome:9
Yes,Q7TQI7,Abtb2,99382,Chromosome:2
Yes,Q6P1H1,Cyb561a3,225912,Chromosome:19
Yes,Q64444,Ca4,12351,Chromosome:11
Yes,P67871,Csnk2b,13001,Chromosome:17
Yes,Q9QZ28,Six6,20476,Chromosome:12
Yes,Q9CZT4,Polr3e,26939,Chromosome:7
Yes,Q61183,Papola,18789,Chromosome:12
Yes,Q9SAD7,EIF4B2,837859,Chromosome:1
Yes,Q99KC8,Vwa5a,67776,Chromosome:9
Yes,Q8CCP0,Nemf,66244,Chromosome:12
Yes,P70660,Neurog1,18014,Chromosome:13
Yes,P48432,Sox2,20674,None
Yes,Q9D051,Pdhb,68263,Chromosome:14
Yes,Q62440,Tle1,21885,Chromosome:4
Yes,Q99MV5,Mov10l1,83456,None
Yes,Q8JZQ9,Eif3b,27979,Chromosome:5
Yes,Q9DBG7,Srpra,67398,Chromosome:9
Yes,Q6ZPK0,Phf21a,192285,None
Yes,Q8K2Y7,Mrpl47,74600,Chromosome:3
Yes,Q9CPR8,Nsmce3,66647,Chromosome:7
Yes,Q8K1N1,Pnpla8,67452,Chromosome:12
Yes,Q8BHJ5,Tbl1xr1,81004,Chromosome:3
Yes,Q99J55,Ier5l,72500,Chromosome:2
Yes,Q6ZPI3,Lcor,212391,Chromosome:19
Yes,Q8C3Q9,Casp9,12371,Chromosome:4
Yes,Q8BNJ2,Adamts4,240913,None
Yes,O54774,Ap3d1,11776,Chromosome:10
Yes,A2AMT1,Bfsp1,12075,Chromosome:2
Yes,Q60668,Hnrnpd,11991,Chromosome:5
Yes,Q9SCL7,NAGK,824923,Chromosome:3
Yes,Q03137,Epha4,13838,Chromosome:1
Yes,P09803,Cdh1,12550,None
Yes,Q02395,Mtf2,17765,Chromosome:5
Yes,Q8BL97,Srsf7,225027,Chromosome:17
Yes,O88470,Foxl2,26927,Chromosome:9
Yes,Q7TQ95,Lnp,69605,Chromosome:2
Yes,O55183,Stc1,20855,Chromosome:14
Yes,Q9D4H7,Lonrf3,74365,None
Yes,Q149F3,Gspt2,14853,None
Yes,Q91V41,Rab14,68365,Chromosome:2
Yes,Q9D939,Sult1c2,69083,Chromosome:17
Yes,P70677,Casp3,12367,Chromosome:8
Yes,Q8C0Y1,Tgif2,228839,Chromosome:2
Yes,P70288,Hdac2,15182,None
Yes,Q9WUL6,Map3k14,53859,Chromosome:11
Yes,Q924T7,Rnf31,268749,Chromosome:14
Yes,Q9WUM5,Suclg1,56451,Chromosome:6
Yes,Q925H0,Asic2,11418,Chromosome:11
Yes,Q80TQ2,Cyld,74256,Chromosome:8
Yes,Q8C167,Prepl,213760,Chromosome:17
Yes,P08046,Egr1,13653,Chromosome:18
Yes,Q9JLN6,Adam28,13522,Chromosome:14
Yes,Q148V7,Kiaa1468,227446,None
Yes,Q7TPR4,Actn1,109711,Chromosome:12
Yes,P97474,Pitx2,18741,Chromosome:3
Yes,O54826,Mllt10,17354,Chromosome:2
Yes,P61164,Actr1a,54130,Chromosome:19
Yes,Q6PGA0,Rcor3,214742,Chromosome:1
Yes,P30415,Nktr,18087,Chromosome:9
Yes,Q9QZE7,Tsnax,53424,Chromosome:8
Yes,O88848,Arl6,56297,Chromosome:16
Yes,Q9CXR4,Pigc,67292,Chromosome:1
Yes,Q6VVW9,Cyp2r1,244209,Chromosome:7
Yes,Q8VED8,Mtfr2,71804,Chromosome:10
Yes,P27681,Gabrg3,14407,Chromosome:7
Yes,Q8BUN5,Smad3,17127,Chromosome:9
Yes,Q9CYP7,Sesn3,75747,Chromosome:9
Yes,Q9ES00,Ube4b,63958,Chromosome:4
Yes,Q6PDJ1,Cachd1,320508,Chromosome:4
Yes,P16092,Fgfr1,14182,Chromosome:8
Yes,Q8CIV8,Tbce,70430,Chromosome:13
Yes,Q810B6,Ankfy1,11736,Chromosome:11
Yes,Q8BW49,Ttc12,235330,Chromosome:9
Yes,P05622,Pdgfrb,18596,None
Yes,Q61473,Sox17,20671,Chromosome:1
Yes,Q9CXP8,Gng10,14700,Chromosome:4
Yes,P60521,Gabarapl2,93739,Chromosome:8
Yes,Q9JKQ4,Irx5,54352,Chromosome:8
Yes,Q9EQH3,Vps35,65114,Chromosome:8
Yes,Q80Z24,Negr1,320840,Chromosome:3
Yes,Q02152,Htr2b,15559,Chromosome:1
Yes,Q9DBF1,Aldh7a1,110695,Chromosome:18
Yes,Q9QXE7,Tbl1x,21372,None
Yes,Q8VCN5,Cth,107869,Chromosome:3
Yes,P23950,Zfp36l1,12192,Chromosome:12
Yes,P36895,Bmpr1a,12166,Chromosome:14
Yes,Q6QD59,Bnip1,224630,Chromosome:17
Yes,Q8CCG4,Dppa4,73693,Chromosome:16
Yes,Q8VC66,Ssx2ip,99167,Chromosome:3
Yes,Q9QYF1,Rdh11,17252,Chromosome:12
Yes,Q8K211,Slc31a1,20529,Chromosome:4
Yes,Q62255,Sall3,20689,Chromosome:18
Yes,Q9CXF4,Tbc1d15,66687,Chromosome:10
Yes,P10637,Mapt,17762,Chromosome:11
Yes,P51612,Xpc,22591,Chromosome:6
Yes,P52955,Lbx1,16814,Chromosome:19
Yes,P59672,Anks1a,224650,Chromosome:17
Yes,P97334,Nkx2,18089,Chromosome:19
Yes,Q9R171,Cbln1,12404,Chromosome:8
Yes,P54276,Msh6,17688,Chromosome:17
Yes,Q9CXG3,Ppil4,67418,Chromosome:10
Yes,Q9D5V2,Klhl10,66720,Chromosome:11
Yes,Q91W43,Gldc,104174,Chromosome:19
Yes,Q8BXT9,Sec22c,215474,Chromosome:9
Yes,Q9D0D5,Gtf2e1,74197,Chromosome:16
Yes,Q8C7E9,Cstf2t,83410,Chromosome:19
Yes,O08553,Dpysl2,12934,Chromosome:14
Yes,Q60632,Nr2f1,13865,None
Yes,Q8BGA9,Oxa1l,69089,Chromosome:14
Yes,Q9C587,RFC1,832261,Chromosome:5
Yes,Q9Z0J4,Nos1,18125,Chromosome:5
Yes,O35344,Kpna3,16648,Chromosome:14
Yes,Q9D020,Nt5c3a,107569,Chromosome:6
Yes,Q6ZPU9,Kif1bp,72320,Chromosome:10
Yes,Q8C9B9,Dido1,23856,Chromosome:2
Yes,Q8BMG7,Rab3gap2,98732,None
Yes,Q8VIJ6,Sfpq,71514,Chromosome:4
Yes,Q8BL95,68001,Chromosome:16
Yes,Q9ZP06,841757,Chromosome:1
Yes,Q8C7Q4,Rbm4,19653,Chromosome:19
Yes,Q6ZQI3,Mlec,109154,Chromosome:5
Yes,Q62036,Cep131,12009,Chromosome:11
Yes,Q6IR41,C1qtnf6,72709,Chromosome:15
Yes,Q91YI1,Atg13,51897,Chromosome:2
Yes,Q9QUJ7,Acsl4,50790,None
Yes,Q3UHK3,Greb1,268527,Chromosome:12
Yes,Q91YJ3,Thyn1,77862,Chromosome:9
Yes,O54943,Per2,18627,None
Yes,E9PZM4,Chd2,244059,Chromosome:7
Yes,O08842,Gfra2,14586,Chromosome:14
Yes,P60330,Espl1,105988,Chromosome:15
Yes,Q8VDC0,Lars2,102436,Chromosome:9
Yes,Q9CXC9,Etv5,104156,Chromosome:16
Yes,Q8K203,Neil3,234258,Chromosome:8
Yes,Q5S003,Spag17,74362,Chromosome:3
Yes,Q7TMR0,Prcp,72461,Chromosome:7
Yes,Q8VDM6,Hnrnpul1,232989,Chromosome:7
Yes,O08900,Ikzf3,22780,Chromosome:11
Yes,Q9CQS2,Nop10,66181,Chromosome:2
Yes,Q8CFE6,Slc38a2,67760,Chromosome:15
Yes,O35382,Exoc4,20336,Chromosome:6
Yes,Q60899,Elavl2,15569,Chromosome:4
Yes,P80316,Cct5,12465,Chromosome:15
Yes,Q8VE98,Cd276,102657,Chromosome:9
Yes,Q9LES2,UBA2A,824853,Chromosome:3
Yes,Q9R1X4,Timeless,21853,Chromosome:10
Yes,O35085,Arx,11878,None
Yes,Q80TM6,R3hdm2,71750,Chromosome:10
Yes,P28704,Rxrb,20182,Chromosome:17
Yes,Q9CPW4,Arpc5,67771,Chromosome:1
Yes,Q9R001,Adamts5,23794,Chromosome:16
Yes,Q920S3,Gatad1,67210,Chromosome:5
Yes,Q8BVW0,Ganc,76051,None
Yes,P84102,Serf2,378702,Chromosome:2
Yes,Q8BZ00,Slc9a9,331004,Chromosome:9
Yes,Q8QZY4,Rtbdn,234542,Chromosome:8
Yes,Q9ER39,Tor1a,30931,Chromosome:2
Yes,P97295,Npy2r,18167,Chromosome:3
Yes,Q9DCF9,Ssr3,67437,Chromosome:3
Yes,O88907,Pias1,56469,Chromosome:9
Yes,Q01721,Gas1,14451,None
Yes,Q8R1U1,Cog4,102339,Chromosome:8
Yes,Q91YI4,Arrb2,216869,Chromosome:11
Yes,Q64368,Dazl,13164,Chromosome:17
Yes,Q62315,Jarid2,16468,Chromosome:13
Yes,Q93092,Taldo1,21351,Chromosome:7
Yes,Q42521,GAD1,831599,Chromosome:5
Yes,O54724,Ptrf,19285,Chromosome:11
Yes,P50284,Ltbr,17000,Chromosome:6
Yes,Q99N84,Mrps18b,66973,Chromosome:17
Yes,P70327,Tbx6,21389,Chromosome:7
Yes,P12023,App,11820,Chromosome:16
Yes,Q9JJ00,Plscr1,22038,Chromosome:9
Yes,Q9JLV2,Trpc4ap,56407,Chromosome:2
Yes,Q3UZB0,Armcx5,494468,None
Yes,Q99M04,Lias,79464,Chromosome:5
Yes,Q64249,Nr6a1,14536,Chromosome:2
Yes,Q6PCM1,Kdm3a,104263,Chromosome:6
Yes,P15375,Myf6,17878,Chromosome:10
Yes,Q920H4,Chrm5,213788,Chromosome:2
Yes,Q9CQL5,Mrpl18,67681,Chromosome:17
Yes,Q9CZR2,Naalad2,72560,Chromosome:9
Yes,Q8K078,Slco4a1,108115,Chromosome:2
Yes,P48725,Pcnt,18541,None
Yes,E9Q3T6,Prdm14,383491,Chromosome:1
Yes,Q9FZ49,ALG9,838261,Chromosome:1
Yes,O08859,Tnfaip6,21930,Chromosome:2
Yes,Q9DAZ9,Zfyve19,72008,Chromosome:2
Yes,O88428,Papss2,23972,Chromosome:19
Yes,O35691,Pnn,18949,None
Yes,Q9Z123,Sema4f,20355,Chromosome:6
Yes,Q9CWY4,Gemin7,69731,Chromosome:7
Yes,Q9R0A0,Pex14,56273,Chromosome:4
Yes,Q99020,Hnrnpab,15384,Chromosome:11
Yes,P70321,Hoxb13,15408,Chromosome:11
Yes,Q6PCN7,Hltf,20585,Chromosome:3
Yes,P70419,Galnt3,14425,Chromosome:2
Yes,P62500,Tsc22d1,21807,Chromosome:14
Yes,Q9QZ88,Vps29,56433,Chromosome:5
Yes,P70324,Tbx3,21386,Chromosome:5
Yes,Q9ZVF5,WOX6,814678,Chromosome:2
Yes,Q9CZY2,Tceal8,66684,None
Yes,Q9D856,Slc39a5,72002,Chromosome:10
Yes,Q9Z277,Baz1b,22385,Chromosome:5
Yes,Q9D131,68721,Chromosome:9
Yes,Q9Z1L2,Syngr4,58867,None
Yes,Q8R3K3,Ptcd2,68927,Chromosome:13
Yes,P56376,Acyp1,66204,Chromosome:12
Yes,Q69ZK0,Prex1,277360,Chromosome:2
Yes,Q9D289,Trappc6b,78232,Chromosome:12
Yes,Q9QZI9,Serinc3,26943,Chromosome:2
Yes,Q9CX83,Armcx1,78248,None
Yes,Q62376,Snrnp70,20637,Chromosome:7
Yes,Q62421,Sh3gl3,20408,None
Yes,Q8R5K4,Nol6,230082,Chromosome:4
Yes,Q8BZ81,Lrrtm3,216028,Chromosome:10
Yes,P10107,Anxa1,16952,Chromosome:19
Yes,Q8BN21,Vrk2,69922,Chromosome:11
Yes,P09242,Alpl,11647,Chromosome:4
Yes,Q2VWQ2,Nell1,338352,Chromosome:7
Yes,O55240,Rdh5,19682,Chromosome:10
Yes,Q8BMI0,Fbxo38,107035,Chromosome:18
Yes,Q9CQF8,Mrpl57,67840,Chromosome:14
Yes,P70371,Terf1,21749,Chromosome:1
Yes,Q8C3Y4,Kntc1,208628,Chromosome:5
Yes,P57784,Snrpa1,68981,Chromosome:7
Yes,P98086,C1qa,12259,Chromosome:4
Yes,Q9D4P0,Arl5b,75869,None
Yes,Q5U5Q9,Uimc1,20184,None
Yes,Q9ES03,Tbx20,57246,Chromosome:9
Yes,Q3U7R1,Esyt1,23943,Chromosome:10
Yes,Q9JJY4,Ddx20,53975,Chromosome:3
Yes,Q99MA9,Nkx6,18096,Chromosome:5
Yes,P60853,Lzts1,211134,Chromosome:8
Yes,Q9WVM1,Racgap1,26934,Chromosome:15
Yes,Q9R1E0,Foxo1,56458,Chromosome:3
Yes,O70421,Fzd1,14362,Chromosome:5
Yes,Q8C636,Spata16,70862,Chromosome:3
Yes,Q6DTY7,Pfkfb4,270198,Chromosome:9
Yes,Q38890,KOR,835035,Chromosome:5
Yes,Q9EPB4,Pycard,66824,Chromosome:7
Yes,Q7X6Y7,MMD1,842932,Chromosome:1
Yes,P22892,Ap1g1,11765,Chromosome:8
Yes,Q9Z1B5,Mad2l1,56150,Chromosome:6
Yes,Q6X786,Zpbp2,69376,Chromosome:11
Yes,Q920E3,Kcnh5,238271,Chromosome:12
Yes,Q9JIP6,Fzd2,57265,Chromosome:11
Yes,Q8BX09,Rbbp5,213464,Chromosome:1
Yes,P14142,Slc2a4,20528,Chromosome:11
Yes,P31360,Pou3f2,18992,Chromosome:4
Yes,Q9QZL9,Dkkl1,50722,Chromosome:7
Yes,Q9DBC7,Prkar1a,19084,Chromosome:11
Yes,Q8K019,Bclaf1,72567,Chromosome:10
Yes,Q3TPX4,Exoc5,105504,Chromosome:14
Yes,Q8CA95,Pde10a,23984,Chromosome:17
Yes,Q04859,Mak,17152,Chromosome:13
Yes,Q60902,Eps15l1,13859,Chromosome:8
Yes,Q80ZD9,Amigo2,105827,Chromosome:15
Yes,P70365,Ncoa1,17977,Chromosome:12
Yes,Q9D415,Dlgap1,224997,Chromosome:17
Yes,Q8K3Z9,Pom121,107939,Chromosome:5
Yes,Q9WU65,Gk2,14626,Chromosome:5
Yes,O54887,Tsks,22116,Chromosome:7
Yes,P62855,Rps26,27370,Chromosome:10
Yes,Q9ES18,Foxj2,60611,Chromosome:6
Yes,O55057,Pde6d,18582,Chromosome:1
Yes,P54846,Nrl,18185,Chromosome:14
Yes,Q9CXY6,Ilf2,67781,Chromosome:3
Yes,Q60700,Map3k12,26404,Chromosome:15
Yes,Q9WV04,Kif9,16578,Chromosome:9
Yes,O70481,Ubr1,22222,Chromosome:2
Yes,O70343,Ppargc1a,19017,Chromosome:5
Yes,Q9DC07,Nebl,74103,Chromosome:2
Yes,Q9ERP3,Trim54,58522,Chromosome:5
Yes,Q8C196,Cps1,227231,Chromosome:1
Yes,P43247,Msh2,17685,Chromosome:17
Yes,Q91VL9,Zbtb1,268564,Chromosome:12
Yes,O08784,Tcof1,21453,Chromosome:18
Yes,P10711,Tcea1,21399,Chromosome:1
Yes,O55134,Pcdh12,53601,Chromosome:18
Yes,Q9EST4,Psmg2,107047,Chromosome:18
Yes,G3X9K3,Arfgef1,211673,Chromosome:1
Yes,P97718,Adra1a,11549,Chromosome:14
Yes,Q8BXQ8,Fam53c,66306,Chromosome:18
Yes,P35487,Pdha2,18598,Chromosome:3
Yes,Q9CQQ7,Atp5f1,11950,Chromosome:3
Yes,O09113,Otp,18420,Chromosome:13
Yes,P21274,Bmp2,12156,Chromosome:2
Yes,P26323,Fli1,14247,Chromosome:9
Yes,Q80WE4,Kif20b,240641,Chromosome:19
Yes,O08581,Kcnk1,16525,Chromosome:8
Yes,Q9DB40,Med27,68975,Chromosome:2
Yes,Q7TME2,Spag5,54141,Chromosome:11
Yes,Q91XL9,Osbpl1a,64291,Chromosome:18
Yes,Q8VEK0,Tmem30a,69981,Chromosome:9
Yes,Q80SV1,Lhfpl1,237091,None
Yes,Q8BSZ2,Ap3s2,11778,Chromosome:7
Yes,Q6ZPY2,Smg5,229512,Chromosome:3
Yes,Q61060,Foxd3,15221,None
Yes,P00520,Abl1,11350,Chromosome:2
Yes,Q9CQV5,Mrps24,64660,Chromosome:11
Yes,A2BDX3,Mocs3,69372,Chromosome:2
Yes,Q9D7B6,Acad8,66948,None
Yes,Q9Z1N2,Orc1,18392,Chromosome:4
Yes,O70435,Psma3,19167,Chromosome:12
Yes,Q80YT9,Rbm11,224344,Chromosome:16
Yes,Q9JMA2,Qtrt1,60507,Chromosome:9
Yes,Q8R4Y8,Rttn,246102,Chromosome:18
Yes,P06837,Gap43,14432,Chromosome:16
Yes,Q60838,Dvl2,13543,Chromosome:11
Yes,Q9JLL0,Crim1,50766,Chromosome:17
Yes,Q9EQ20,Aldh6a1,104776,Chromosome:12
Yes,P48985,Atoh1,11921,Chromosome:6
Yes,Q8BQQ1,Zdhhc14,224454,Chromosome:17
Yes,Q91VK1,Bzw2,66912,Chromosome:12
Yes,A2A591,Krtap3,69473,Chromosome:11
Yes,Q8C6Z1,Muc15,269328,Chromosome:2
Yes,Q9Z2B5,Eif2ak3,13666,None
Yes,O08538,Angpt1,11600,Chromosome:15
Yes,P59530,Tas2r7,387355,Chromosome:6
Yes,Q9D8U8,Snx5,69178,Chromosome:2
Yes,Q9DCL4,Mettl15,76894,Chromosome:2
Yes,Q9WTR0,Mmp16,17389,Chromosome:4
Yes,Q64523,Hist2h2ac,319176,Chromosome:3
Yes,P27661,H2afx,15270,Chromosome:9
Yes,Q9DAK9,Phpt1,75454,Chromosome:2
Yes,F6VAN0,Atf6,226641,Chromosome:1
Yes,Q8BWU5,Osgep,66246,None
Yes,Q3UZP0,Marveld2,218518,Chromosome:13
Yes,B2RRL2,Jrkl,77532,Chromosome:9
Yes,Q4U2R1,Herc2,15204,Chromosome:7
Yes,Q62181,Sema3c,20348,Chromosome:5
Yes,Q8CG47,Smc4,70099,Chromosome:3
Yes,P48542,Kcnj6,16522,None
Yes,Q8K0S9,Snapc1,75627,Chromosome:12
Yes,O54879,Hmgb3,15354,None
Yes,O08686,Barx2,12023,Chromosome:9
Yes,Q8BLC3,Lypd1,72585,Chromosome:1
Yes,P54754,Ephb3,13845,Chromosome:16
Yes,Q9QZB6,Nr4a3,18124,Chromosome:4
Yes,Q7TNS7,Asic4,241118,Chromosome:1
Yes,Q9CZ13,Uqcrc1,22273,Chromosome:9
Yes,Q8K3P5,Cnot6,104625,Chromosome:11
Yes,Q923D5,Wbp11,60321,Chromosome:6
Yes,Q8CHY3,Dym,69190,Chromosome:18
Yes,Q8BZT2,Sh3rf2,269016,Chromosome:18
Yes,Q9CR26,Vta1,66201,Chromosome:10
Yes,P55821,Stmn2,20257,Chromosome:3
Yes,Q9CR51,Atp6v1g1,66290,Chromosome:4
Yes,Q9ES74,Nek7,59125,Chromosome:1
Yes,Q8C966,Phf21b,271305,Chromosome:15
Yes,Q38905,PRO4,816496,Chromosome:2
Yes,P53569,Cebpz,12607,None
Yes,Q9M9P3,UGP2,821313,Chromosome:3
Yes,Q9JHI7,Exosc9,50911,Chromosome:3
Yes,P20029,Hspa5,14828,Chromosome:2
Yes,O88662,Emp2,13731,Chromosome:16
Yes,P04184,Tk1,21877,Chromosome:11
Yes,P23813,Hoxd11,15431,None
Yes,Q91W96,Anapc4,52206,Chromosome:5
Yes,P61079,Ube2d3,66105,Chromosome:3
Yes,Q8CF93,Galnt13,271786,Chromosome:2
Yes,O88908,Soat2,223920,Chromosome:15
Yes,Q8L7E5,WIT1,831010,Chromosome:5
Yes,Q9EQQ9,Mgea5,76055,Chromosome:19
Yes,Q925F4,Ubox5,140629,Chromosome:2
Yes,P28352,Apex1,11792,Chromosome:14
Yes,Q923D4,Sf3b5,66125,Chromosome:10
Yes,O70194,Eif3d,55944,Chromosome:15
Yes,P21275,Bmp4,12159,Chromosome:14
Yes,P05627,Jun,16476,Chromosome:4
Yes,Q7TSK3,Pcdh8,18530,Chromosome:14
Yes,Q9JK30,Orc3,50793,Chromosome:4
Yes,P97326,Cdh6,12563,Chromosome:15
Yes,F6ULY1,Wfdc6b,433502,Chromosome:2
Yes,Q02780,Nfia,18027,Chromosome:4
Yes,P62259,Ywhae,22627,Chromosome:11
Yes,Q61091,Fzd8,14370,Chromosome:18
Yes,Q64310,Surf4,20932,Chromosome:2
Yes,Q9LET1,CRK7,824843,Chromosome:3
Yes,Q9QUS4,Hey2,15214,Chromosome:10
Yes,Q9JIY5,Htra2,64704,Chromosome:6
Yes,Q52KI8,Srrm1,51796,None
Yes,Q62186,Ssr4,20832,None
Yes,Q9JJV1,Cryba2,12958,Chromosome:1
Yes,Q61312,Tfap2c,21420,Chromosome:2
Yes,P59328,Wdhd1,218973,Chromosome:14
Yes,Q5D1E7,Zc3h12a,230738,Chromosome:4
Yes,Q9CQV1,Pam16,66449,Chromosome:10
Yes,Q7TNU7,Letm2,270035,Chromosome:8
Yes,Q9QYB1,Clic4,29876,Chromosome:4
Yes,Q9R0N4,Syt10,54526,Chromosome:15
Yes,Q8BTU1,Cfap20,14894,Chromosome:8
Yes,Q9D824,Fip1l1,66899,Chromosome:5
Yes,Q99KU1,Dhdds,67422,Chromosome:4
Yes,Q8QZZ8,Rab38,72433,Chromosome:7
Yes,Q9WTX2,Prkra,23992,Chromosome:2
Yes,Q61658,Hesx1,15209,Chromosome:14
Yes,Q9CX00,Ist1,71955,Chromosome:8
Yes,Q61469,Plpp1,19012,Chromosome:13
Yes,Q60629,Epha5,13839,Chromosome:5
Yes,P70447,Neurog2,11924,None
Yes,P30681,Hmgb2,97165,Chromosome:8
Yes,P81066,Irx2,16372,Chromosome:13
Yes,Q9D2P8,Mobp,17433,Chromosome:9
Yes,Q3V300,Kif22,110033,Chromosome:7
Yes,O88792,F11r,16456,Chromosome:1
Yes,P22387,Edn1,13614,Chromosome:13
Yes,P19324,Serpinh1,12406,Chromosome:7
Yes,A2ALK8,Ptpn3,545622,Chromosome:4
Yes,Q9QUP4,Chst5,56773,Chromosome:8
Yes,Q60520,Sin3a,20466,Chromosome:9
Yes,A2RSJ4,Uhrf1bp1l,75089,Chromosome:10
Yes,P24699,Myf5,17877,Chromosome:10
Yes,P70436,Dlx4,13394,Chromosome:11
Yes,O09130,Nfatc2ip,18020,Chromosome:7
Yes,Q9WV66,March7,57438,Chromosome:2
Yes,Q69ZX6,Morc2a,74522,Chromosome:11
Yes,Q6PDI6,Fam63b,235461,Chromosome:9
Yes,P93002,NPR1,842733,Chromosome:1
Yes,P17919,Hoxb1,15407,Chromosome:11
Yes,Q8K1S1,Lgi4,243914,Chromosome:7
Yes,Q9JIS8,Slc12a4,20498,Chromosome:8
Yes,Q9ESL9,Fgf20,80857,Chromosome:8
Yes,Q9EQ80,Nif3l1,65102,Chromosome:1
Yes,Q8VDJ3,Hdlbp,110611,Chromosome:1
Yes,P48776,Tdo2,56720,Chromosome:3
Yes,Q8C2S0,Usp44,327799,None
Yes,Q8K445,Clrn1,229320,Chromosome:3
Yes,O08547,Sec22b,20333,Chromosome:3
Yes,Q80TF4,Klhl13,67455,None
Yes,P20263,Pou5f1,18999,Chromosome:17
Yes,Q64737,Gart,14450,Chromosome:16
Yes,Q3TLR7,Dtl,76843,Chromosome:1
Yes,D3Z4I3,Rbm24,666794,Chromosome:13
Yes,P22227,Zfp42,22702,None
Yes,Q8VHG2,Amot,27494,None
Yes,Q31125,Slc39a7,14977,Chromosome:17
Yes,Q6ZQK0,Ncapd3,78658,None
Yes,Q505D7,Opa3,403187,Chromosome:7
Yes,Q8R332,Nup58,71844,Chromosome:14
Yes,P35710,Sox5,20678,Chromosome:6
Yes,Q94JQ6,CESA6,836595,Chromosome:5
Yes,Q8K2W3,Txndc11,106200,Chromosome:16
Yes,P08553,Nefm,18040,None
Yes,A2CG63,Arid4b,94246,Chromosome:13
Yes,Q9D032,Ssbp3,72475,Chromosome:4
Yes,Q5SRY7,Fbxw11,103583,Chromosome:11
Yes,Q810B7,Slitrk5,75409,Chromosome:14
Yes,Q8BFU2,Hist3h2a,319162,Chromosome:11
Yes,Q8GWH3,OS9,833459,Chromosome:5
Yes,Q04207,Rela,19697,Chromosome:19
Yes,Q9D1P0,Mrpl13,68537,Chromosome:15
Yes,P07607,Tyms,22171,Chromosome:5
Yes,Q8C6A8,Bhlhe22,59058,None
Yes,Q7TMX5,Shq1,72171,Chromosome:6
Yes,P60898,Polr2i,69920,Chromosome:7
Yes,Q505F1,Nr2c1,22025,Chromosome:10
Yes,P0CB42,Alkbh1,211064,Chromosome:12
Yes,Q99M54,Cdca3,14793,Chromosome:6
Yes,Q6GQT0,Cdc14a,229776,Chromosome:3
Yes,Q99LL5,Pwp1,103136,Chromosome:10
Yes,B1AT66,Slc16a6,104681,Chromosome:11
Yes,P21803,Fgfr2,14183,None
Yes,Q8K2Z4,Ncapd2,68298,None
Yes,Q6UQ17,Atp8b3,67331,Chromosome:10
Yes,P17208,Pou4f1,18996,Chromosome:14
Yes,Q99KJ5,Tcf19,106795,None
Yes,Q9QXK2,Rad18,58186,Chromosome:6
Yes,P60840,Ensa,56205,Chromosome:3
Yes,Q9D1N2,Gpihbp1,68453,Chromosome:15
Yes,Q42484,RPS2,828715,Chromosome:4
Yes,Q3THW5,H2afv,77605,Chromosome:11
Yes,Q0VDT2,Znf367,238673,Chromosome:13
Yes,P63017,Hspa8,15481,Chromosome:9
Yes,A2A559,Pgap3,320655,Chromosome:11
Yes,Q3UM29,Cog7,233824,None
Yes,Q9WVK5,B4galt6,56386,Chromosome:18
Yes,Q6S5L9,Shc4,271849,Chromosome:2
Yes,P30658,Cbx2,12416,Chromosome:11
Yes,P70266,Pfkfb1,18639,None
Yes,Q9EQK7,Icmt,57295,None
Yes,Q9JLQ2,Git2,26431,Chromosome:5
Yes,Q8BFY9,Tnpo1,238799,Chromosome:13
Yes,P09023,Hoxb6,15414,Chromosome:11
Yes,Q9M385,RPL17,824588,Chromosome:3
Yes,Q5SDA5,Gucy2f,245650,None
Yes,Q60611,Satb1,20230,Chromosome:17
Yes,Q8VD04,Gripap1,54645,None
Yes,P56390,Cks2,66197,Chromosome:13
Yes,Q8BVG4,Dpp9,224897,Chromosome:17
Yes,O54908,Dkk1,13380,Chromosome:19
Yes,Q7TPS0,Rps6ka6,67071,None
Yes,P56542,Dnase2,13423,Chromosome:8
Yes,Q8R1Z9,Rnf121,75212,Chromosome:7
Yes,O55123,Mmp10,17384,Chromosome:9
Yes,Q61467,Zic4,22774,Chromosome:9
Yes,Q9EP64,Tnmd,64103,None
Yes,P48999,Alox5,11689,Chromosome:6
Yes,P40630,Tfam,21780,Chromosome:10
